title,release_date,Album,cleaned_lyrics,WordLength
Stick Season,2022-07-08,Stick Season (Forever),promise mile combine mustve change heart like halfway drive voice trail exactly pass exit sign kept drivin straight left future right stuck anger blame cant face memory somethin even smoking weed replace terrify weather cause see rain doc told travel covid plane love vermont season stick saw mom forgot exist half fault like play victim ill drink alcohol til friend come home christmas ill dream night version might lose youre tire track one pair shoe im split half thatll thought pile something good bad could cancel darkness inherit dad longer funny cause miss way laugh call forever still cant call back see noah kahan liveget ticket low might also like love vermont season stick saw mom forgot exist half fault like play victim ill drink alcohol til friend come home christmas ill dream night version might lose youre tire track one pair shoe im split half thatll oh thatll half hope pain passin doubt love vermont season stick saw mom forgot exist half fault like play victim ill drink alcohol til friend come home christmas ill dream night version might lose youre tire track one pair shoe im split half thatll doembed promise mile combine mustve change heart like halfway drive voice trail exactly pass exit sign kept drivin straight left future right stuck anger blame cant face memory somethin even smoking weed replace terrify weather cause see rain doc told travel covid plane love vermont season stick saw mom forgot exist half fault like play victim ill drink alcohol til friend come home christmas ill dream night version might lose youre tire track one pair shoe im split half thatll thought pile something good bad could cancel darkness inherit dad longer funny cause miss way laugh call forever still cant call back love vermont season stick saw mom forgot exist half fault like play victim ill drink alcohol til friend come home christmas ill dream night version might lose youre tire track one pair shoe im split half thatll oh thatll half hope pain passin doubt love vermont season stick saw mom forgot exist half fault like play victim ill drink alcohol til friend come home christmas ill dream night version might lose youre tire track one pair shoe im split half thatll,2193
You’re Gonna Go Far,2023-06-09,Stick Season (Forever),time get pray red light saw destination deadline normal conversation babe fine make quiet calculation fault lie good land least take strong hand sound mind college kid get young aint theyre correct grammar spray paint even give drive nightfall get tire frat boy brights good land least take strong hand sound mind make smile know thing get hard oohooh youll far oohooh youll bе far clеan shit yard oohooh youll far oohooh youll far far pack car put hand heart say whatever feel wherever aint angry love youre great thing weve lose bird still sing folk still fight board still creak leaf still die aint angry love well wait love see noah kahan liveget ticket low might also like well forever well forever sure overdue revival spent long get thats thing survival hell hell like livin die told would make difference well get drunk shut wont volition step foot outside town weve always pack car put hand heart say whatever feel wherever aint angry love youre great thing weve lose bird still sing folk still fight board still creak leaf still die aint angry love well wait love well forever well forever youre gon na go far youre gon na go far youre gon na go far youre gon na go far yes oohooh wan na go far get ta go far embed time get pray red light saw destination deadline normal conversation babe fine make quiet calculation fault lie good land least take strong hand sound mind college kid get young aint theyre correct grammar spray paint even give drive nightfall get tire frat boy brights good land least take strong hand sound mind make smile know thing get hard oohooh youll far oohooh youll bе far clеan shit yard oohooh youll far oohooh youll far far pack car put hand heart say whatever feel wherever aint angry love youre great thing weve lose bird still sing folk still fight board still creak leaf still die aint angry love well wait love well forever well forever sure overdue revival spent long get thats thing survival hell hell like livin die told would make difference well get drunk shut wont volition step foot outside town weve always pack car put hand heart say whatever feel wherever aint angry love youre great thing weve lose bird still sing folk still fight board still creak leaf still die aint angry love well wait love well forever well forever youre gon na go far youre gon na go far youre gon na go far youre gon na go far yes oohooh wan na go far get ta go far,2393
Call Your Mom,2023-06-09,Stick Season (Forever),oh youre spiralin moment right end youre afraid dont cancel plan cause wont let get chance never make stayed line entire night til let let dont let darkness fool light turn turn ill drive ill drive night ill call mom oh dear dont discourage ive exactly ill drive ill drive night ill call mom ill call mom wait room placе stand great fear wring hand thе loud silence could see like could see like youdve never try see noah kahan liveget ticket low might also like stayed line entire night til told go dont let darkness fool light turn turn ill drive ill drive night ill call mom oh dear dont discourage ive exactly ill drive ill drive night ill call mom medicate meditate swear soul jesus throw punch fall love give reason dont wan na drive another mile wonderin youre breathin wont stay wont stay wont stay medicate meditate save soul jesus throw punch fall love give reason dont wan na drive another mile without knowin youre breathin wont stay wont stay wont stay dont let darkness fool light turn turn ill drive ill drive night ill call mom oh dear dont discourage ive exactly ill drive ill drive night ill call mom ill call momembed oh youre spiralin moment right end youre afraid dont cancel plan cause wont let get chance never make stayed line entire night til let let dont let darkness fool light turn turn ill drive ill drive night ill call mom oh dear dont discourage ive exactly ill drive ill drive night ill call mom ill call mom wait room placе stand great fear wring hand thе loud silence could see like could see like youdve never try stayed line entire night til told go dont let darkness fool light turn turn ill drive ill drive night ill call mom oh dear dont discourage ive exactly ill drive ill drive night ill call mom medicate meditate swear soul jesus throw punch fall love give reason dont wan na drive another mile wonderin youre breathin wont stay wont stay wont stay medicate meditate save soul jesus throw punch fall love give reason dont wan na drive another mile without knowin youre breathin wont stay wont stay wont stay dont let darkness fool light turn turn ill drive ill drive night ill call mom oh dear dont discourage ive exactly ill drive ill drive night ill call mom ill call mom,2218
Orange Juice,2022-10-14,Stick Season (Forever),honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visit feel like ive ready come home long didnt think ask youd go whyd go say mmhmm mmhmmmm say say heart change soul change heart heart face change havent drank six month dot see graf pas crash back one nick finger ask mе hold make stranger fill angеr im third line lord savior see noah kahan liveget ticket low might also like feel like ive ready come home long didnt think ask youd go whyd go say mm hmmmm hmmmm mm say mmhmm say heart change soul change heart heart life change town change world change dont find strange go ahead carry know id say last time drank face pass lawn crow pullin didnt put bone ground didnt put bone ground honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visitembed honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visit feel like ive ready come home long didnt think ask youd go whyd go say mmhmm mmhmmmm say say heart change soul change heart heart face change havent drank six month dot see graf pas crash back one nick finger ask mе hold make stranger fill angеr im third line lord savior feel like ive ready come home long didnt think ask youd go whyd go say mm hmmmm hmmmm mm say mmhmm say heart change soul change heart heart life change town change world change dont find strange go ahead carry know id say last time drank face pass lawn crow pullin didnt put bone ground didnt put bone ground honey come party go slow one tempt know get sober orange juice kitchen bought child want glad could visit,1640
Dial Drunk,2023-06-09,Stick Season (Forever),im rememberin promise forget rainin im callin drunk medicine drownin perspective aint takin fault honest still half man use doubt forget whatever anyways aint proud punch ive thrown name someone longer know shame bein young drunk alone traffic light transmitter radio dont like threw car give name emergency phone call honey rang rang even cop thought wrong hangin dial drunk ill die drunk id die im untetherin part youd recognize charmin alarmin second ill bedridden ill let pain metastasize thats morning ill forget dial tone see noah kahan liveget ticket low might also like aint proud punch ive thrown name someone longer know shame bein young drunk alone traffic light transmitter radio dont like threw car give name emergency phone call honey rang rang even cop thought wrong hangin dial drunk ill die drunk id die well id die beg sir let call ill give blood alcohol ill rot burnouts cell ill change faith ill praise flag let wait swear shell call back son danger fuck sir let call ill give blood alcohol ill rot burnouts cell ill change faith ill kiss badge let wait swear shell call back son say aint proud punch ive thrown name someone longer know longer know shame bein young drunk alone traffic light transmitter radio dont like threw car give name emergency phone call honey rang rang even cop thought wrong hangin dial drunk ill die drunk id die youembed im rememberin promise forget rainin im callin drunk medicine drownin perspective aint takin fault honest still half man use doubt forget whatever anyways aint proud punch ive thrown name someone longer know shame bein young drunk alone traffic light transmitter radio dont like threw car give name emergency phone call honey rang rang even cop thought wrong hangin dial drunk ill die drunk id die im untetherin part youd recognize charmin alarmin second ill bedridden ill let pain metastasize thats morning ill forget dial tone aint proud punch ive thrown name someone longer know shame bein young drunk alone traffic light transmitter radio dont like threw car give name emergency phone call honey rang rang even cop thought wrong hangin dial drunk ill die drunk id die well id die beg sir let call ill give blood alcohol ill rot burnouts cell ill change faith ill praise flag let wait swear shell call back son danger fuck sir let call ill give blood alcohol ill rot burnouts cell ill change faith ill kiss badge let wait swear shell call back son say aint proud punch ive thrown name someone longer know longer know shame bein young drunk alone traffic light transmitter radio dont like threw car give name emergency phone call honey rang rang even cop thought wrong hangin dial drunk ill die drunk id die,2676
Forever,2024-02-09,Stick Season (Forever),let drive reason let see wheel land let grind curve earth look fine even honey start storm kiss car school parking lot id go friend get drunk use wish meant anything anywhere anyone forever sentence sentence death oh wеre run tear drop sweat thе edge soul havent see yet im glad get forever see end wont alone rest life ill build boat river get high ill meet girl heat july ill tell know im broke im real rich head broke bone never heal hand hold close might loosen grip wont ever let go wont ever let go woo see noah kahan liveget ticket low might also like remember call cop cause get high get scar cop laugh cant make rent windowshop upper west side oh god could imagine wont alone rest life ill build boat river get high ill meet girl heat july ill tell know im broke im real rich head broke bone never heal hand hold close might loosen grip wont ever let go wont ever let go forever sentence sentence death oh run tear drop sweat edge soul havent see yet im glad get forever see end see endembed let drive reason let see wheel land let grind curve earth look fine even honey start storm kiss car school parking lot id go friend get drunk use wish meant anything anywhere anyone forever sentence sentence death oh wеre run tear drop sweat thе edge soul havent see yet im glad get forever see end wont alone rest life ill build boat river get high ill meet girl heat july ill tell know im broke im real rich head broke bone never heal hand hold close might loosen grip wont ever let go wont ever let go woo remember call cop cause get high get scar cop laugh cant make rent windowshop upper west side oh god could imagine wont alone rest life ill build boat river get high ill meet girl heat july ill tell know im broke im real rich head broke bone never heal hand hold close might loosen grip wont ever let go wont ever let go forever sentence sentence death oh run tear drop sweat edge soul havent see yet im glad get forever see end see end,1946
Homesick,2022-10-14,Stick Season (Forever),two month since get back bore yet weather aint bad youre masochistic bullshit every photograph thats take summer guy olympic gold eight year ago distance runner make lot sense place great motivation anyone tryna move fuck away hibernation yoohoo ooh oohooh oh well im tire dirt road name high school friend grandfather motherfucker still dont know caught boston bomber timе move damn slow swear feel organ fail stop care bout month ago sincе smooth sail see noah kahan liveget ticket low might also like would leave could find reason im mean grow new england get dream cant make believe spend rest life could die house grow im homesick im homesick im homesick oh ohoh ohoh ohoh oh would leave could find reason im mean grow new england get dream cant make believe spend rest life could die house grow im homesick im homesick im homesick im homesick homeembed two month since get back bore yet weather aint bad youre masochistic bullshit every photograph thats take summer guy olympic gold eight year ago distance runner make lot sense place great motivation anyone tryna move fuck away hibernation yoohoo ooh oohooh oh well im tire dirt road name high school friend grandfather motherfucker still dont know caught boston bomber timе move damn slow swear feel organ fail stop care bout month ago sincе smooth sail would leave could find reason im mean grow new england get dream cant make believe spend rest life could die house grow im homesick im homesick im homesick oh ohoh ohoh ohoh oh would leave could find reason im mean grow new england get dream cant make believe spend rest life could die house grow im homesick im homesick im homesick im homesick home,1662
All My Love,2022-10-14,Stick Season (Forever),okay thing well love mention folk still talk speak twoword sentence im sayin much know get winter coat could keep cold atmosphere sang retrograde wed shake frame car know name okay aint drop bad blood love get love im still pill dog need dear im okay aint drop bad blood lovе get love get love write mе list burrow skin id give still recall leather car feel end hope scar heal see noah kahan liveget ticket low might also like sang retrograde wed shake frame car know name okay aint drop bad blood love get love im still pill dog need dear im okay aint drop bad blood love get love get love well lean kiss thirty foot parent slept look confident babe swear scar death hand gripped wheel smile stupid whole way home well five word head say ill never let go oh sang retrograde wed shake frame car know name okay aint drop bad blood love get love still pill dog wind chill year stole word tongue okay aint drop bad blood love get love get love get love get love get loveembed okay thing well love mention folk still talk speak twoword sentence im sayin much know get winter coat could keep cold atmosphere sang retrograde wed shake frame car know name okay aint drop bad blood love get love im still pill dog need dear im okay aint drop bad blood lovе get love get love write mе list burrow skin id give still recall leather car feel end hope scar heal sang retrograde wed shake frame car know name okay aint drop bad blood love get love im still pill dog need dear im okay aint drop bad blood love get love get love well lean kiss thirty foot parent slept look confident babe swear scar death hand gripped wheel smile stupid whole way home well five word head say ill never let go oh sang retrograde wed shake frame car know name okay aint drop bad blood love get love still pill dog wind chill year stole word tongue okay aint drop bad blood love get love get love get love get love get love,1890
"Your Needs, My Needs",2023-06-09,Stick Season (Forever),oh well watch wilt aint get ta tell mean trace outline dream youll always flower skin pain mm lose touch wait game cross county line promise time alright work art thats hardest part howlin like dog light moon holdin breath ask wasnt sayin word im name star sky work art thats hardest part spiral try float see friend see ghost bitterbrained always drunk railthin zoloft subtle changе shorter day deadeyеd dead weight life dream mind need need need need see noah kahan liveget ticket low might also like spiral try float see friend see ghost see ghost see ghost see ghostembed oh well watch wilt aint get ta tell mean trace outline dream youll always flower skin pain mm lose touch wait game cross county line promise time alright work art thats hardest part howlin like dog light moon holdin breath ask wasnt sayin word im name star sky work art thats hardest part spiral try float see friend see ghost bitterbrained always drunk railthin zoloft subtle changе shorter day deadeyеd dead weight life dream mind need need need need spiral try float see friend see ghost see ghost see ghost see ghost,1096
No Complaints,2023-06-09,Stick Season (Forever),thought something thats something get mad nothing blame dad something pull punch feel bad month mm thought raise well try fake well try blame weather escape well hope skin heals pain enters oh finally get sew set time show weight world aint bad mmmhm saw еnd look like middle get papеr pen page space fill hole head prescription medication forgot cry complain pain different still exists escape different evades vision make rain different make news boring rage distant yes im young living dream love notice afraid see finally eat fall asleep fine fine fine see noah kahan liveget ticket low might also like finally get sew set time show weight world aint bad well saw end look like middle get paper pen page space fill hole head prescription medication forgot cry complain complain oh ohoh oh complain saw end look like middle get paper pen cant feel pain fill hole head prescription medication forgot cry complainembed thought something thats something get mad nothing blame dad something pull punch feel bad month mm thought raise well try fake well try blame weather escape well hope skin heals pain enters oh finally get sew set time show weight world aint bad mmmhm saw еnd look like middle get papеr pen page space fill hole head prescription medication forgot cry complain pain different still exists escape different evades vision make rain different make news boring rage distant yes im young living dream love notice afraid see finally eat fall asleep fine fine fine finally get sew set time show weight world aint bad well saw end look like middle get paper pen page space fill hole head prescription medication forgot cry complain complain oh ohoh oh complain saw end look like middle get paper pen cant feel pain fill hole head prescription medication forgot cry complain,1784
