,artistName,followers,popularity
0,5 Seconds of Summer,10183531,75
1,A1 x J1,293088,56
2,AJ Tracey,1359490,66
3,Adhitia Sofyan,385682,48
4,Afgan,2996240,69
5,Alexander Stewart,1090910,61
6,Amigdala,153803,58
7,Arash Buana,397043,59
8,Arctic Monkeys,28521096,86
9,Ardhito Pramono,1148021,60
10,Ariana Grande,103101246,92
11,Arz,1366,24
12,Ashe,1907451,67
13,Banda Neira,1175503,56
14,Beach Bunny,1665407,67
15,Ben Platt,510559,61
16,Benson Boone,4406120,82
17,Bernadya,4209232,77
18,Billie Eilish,105950393,93
19,Billy Joel,6609674,77
20,Bon Iver,3775580,75
21,Bruno Major,1498410,64
22,Bruno Mars,66493405,94
23,COIN,126,12
24,Caleb Hearn,264716,63
25,Central Cee,7395105,79
26,Chappell Roan,4722017,85
27,Charli xcx,4782292,83
28,Charlie Burg,213472,50
29,Chrisye,2204606,60
30,Chunkz,103372,40
31,Clairo,5689101,79
32,Coldplay,56233323,89
33,Conan Gray,11032414,79
34,D-Block Europe,1639632,74
35,Daniel Caesar,8048646,84
36,Daun Jatuh,477880,57
37,Dave,96530,40
38,Declan McKenna,1044281,66
39,Del Water Gap,237080,61
40,Delaney Bailey,260486,57
41,Diskoria,79633,54
42,Djo,168809,54
43,Doja Cat,32547566,84
44,Dominic Fike,1995468,76
45,Donne Maula,77525,55
46,Drake,95446235,94
47,Dua Lipa,45442209,86
48,Ed Sheeran,118652971,87
49,Elegi,27316,40
50,Elevation Worship,4225011,74
51,Fourtwnty,2770764,64
52,Fred again..,1842961,76
53,Gigi Perez,787512,79
54,Grace Enger,24114,41
55,Gracie Abrams,4151467,88
56,Gregory Alan Isakov,1010739,70
57,Griff,390758,65
58,HONNE,1576804,62
59,HYBS,559692,66
60,Hal,32,22
61,Hardy Caprio,393403,50
62,Harry Styles,33400541,82
63,Hazlett,152670,64
64,Hillsong UNITED,4120587,69
65,Hillsong Worship,6466097,73
66,Hindia,5312120,75
67,Hivi!,2360229,69
68,Hotel Ugly,881572,74
69,Hozier,8360034,84
70,Ice Spice,4388653,73
71,JPCC Worship Youth,56157,40
72,Jeremy Zucker,2308408,67
73,Jordan Susanto,16012,48
74,Kelsea Ballerini,1245158,70
75,Kendrick Lamar,36400146,94
76,Koomz,65710,44
77,Kunto Aji,1160323,55
78,KÖWE,670,28
79,LANY,6448478,75
80,LE SSERAFIM,6477524,78
81,Lana Del Rey,43971924,90
82,Laufey,6436800,82
83,Lauv,6481557,75
84,Libianca,526933,63
85,Lil Durk,8505110,80
86,Lizzy McAlpine,1171993,72
87,Luke Chiang,471481,62
88,MALIQ & D'Essentials,1382820,63
89,MKTO,1094731,64
90,Maleek Berry,633050,54
91,Margot Liotta,18903,37
92,Marianne Ross,11851,27
93,Mark Ambor,572038,74
94,Maroon 5,43854983,85
95,Matt Maltese,661655,67
96,Meryl Streep,122479,63
97,Mitski,9806441,81
98,Mt. Joy,570154,69
99,NIKI,5255679,77
100,Nadin Amizah,7406474,73
101,Naif,78,12
102,Natasha Bedingfield,1845403,72
103,Nathan Dawe,134248,61
104,NewJeans,10092298,79
105,Niall Horan,10109816,74
106,Noah Kahan,3806476,84
107,Novo Amor,1263212,72
108,Olivia Rodrigo,43164376,86
109,Omar Apollo,1072301,67
110,One Direction,38438097,85
111,POTRET,159299,48
112,Payung Teduh,3762536,66
113,Petra Sihombing,332804,51
114,PinkPantheress,3859963,75
115,ROLE MODEL,516092,65
116,Reality Club,557385,61
117,Reneé Rapp,1000739,66
118,Rex Orange County,6367683,73
119,Richy Mitch & The Coal Miners,260407,71
120,Rina Sawayama,1037679,56
121,SZA,700,13
122,Sabrina Carpenter,18192483,90
123,Sal Priadi,1089548,66
124,Shaboozey,956725,78
125,Shakka,88273,50
126,Shallow Alcove,25740,36
127,Shawn Mendes,44212681,82
128,Sheila On 7,8408249,70
129,Soegi Bornean,240843,51
130,Steve Lacy,5588051,80
131,Stormzy,3036988,70
132,Suki Waterhouse,994866,70
133,Takayoshi,128176,55
134,Taylor Swift,130976129,97
135,Teddy Adhitya,219132,50
136,Tems,2807816,76
137,The 1975,7588583,76
138,The Goo Goo Dolls,3085696,73
139,The Lumineers,5617041,77
140,The Paper Kites,838387,68
141,The Vamps,5922375,65
142,The Walters,899311,70
143,The Weeknd,98465392,94
144,Tiny Habits,85669,50
145,Tion Wayne,1199949,63
146,Travis Scott,36360808,92
147,Tulus,17230470,73
148,Twenty One Pilots,25042072,82
149,"Tyler, The Creator",19475995,90
150,VIDI,1509,47
151,Valley,826,58
152,Vansire,444721,66
153,Wallows,2891129,71
154,Young T & Bugsey,368702,53
155,Yovie & Nuno,1995404,68
156,Yura Yunita,3402870,63
157,Zach Bryan,5994406,87
158,beabadoobee,4929790,81
159,oceanfromtheblue,154400,43
160,slchld,368605,53
161,sundial,109658,43
162,千葉雄喜,123713,62
