,artistName,genres,indonesian_artist,simplified_genres
0,A1 x J1,"['uk drill', 'drill']",no,drill
1,AJ Tracey,"['grime', 'uk drill', 'drill']",no,drill
2,Adhitia Sofyan,"['indonesian indie', 'indonesian pop']",yes,indie/pop
3,Afgan,"['indonesian pop', 'malay']",yes,pop
4,Amigdala,"['indonesian indie', 'indonesian pop']",yes,indie/pop
5,Arctic Monkeys,"['indie', 'garage rock', 'indie rock']",no,indie/rock
6,Ardhito Pramono,['indonesian indie'],yes,indie
7,Ariana Grande,['pop'],no,pop
8,Banda Neira,"['indonesian indie', 'indie']",yes,indie
9,Ben Platt,['musicals'],no,pop/folk
10,Bernadya,"['indonesian pop', 'indonesian indie']",yes,indie/pop
11,Billy Joel,['soft rock'],no,rock
12,Bon Iver,['indie folk'],no,folk/indie
13,Central Cee,"['uk drill', 'drill', 'grime']",no,drill
14,Charli xcx,"['hyperpop', 'art pop']",no,pop
15,Chrisye,"['indonesian pop', 'city pop']",yes,pop
16,Chunkz,['afroswing'],no,hip hop/rap
17,Clairo,['bedroom pop'],no,pop
18,D-Block Europe,"['grime', 'uk drill']",no,drill
19,Daun Jatuh,"['indonesian indie', 'indonesian pop']",yes,indie/pop
20,Dave,"['gospel', 'african gospel']",no,hip hop/rap
21,Diskoria,"['indonesian indie', 'indonesian pop', 'city pop']",yes,indie/pop
22,Djo,['indietronica'],no,indie
23,Donne Maula,"['indonesian indie', 'indonesian pop']",yes,indie/pop
24,Drake,"['rap', 'hip hop']",no,hip hop/rap
25,Dua Lipa,['pop'],no,pop
26,Ed Sheeran,['soft pop'],no,pop
27,Elegi,"['duranguense', 'banda', 'norteño', 'música mexicana']",no,pop
28,Elevation Worship,"['worship', 'christian', 'ccm', 'gospel']",no,worship
29,Fourtwnty,"['indonesian indie', 'indonesian pop', 'indie']",yes,indie/pop
30,Fred again..,"['stutter house', 'house']",no,house
31,Gregory Alan Isakov,"['indie folk', 'folk', 'folk pop']",no,folk/indie/pop
32,Hal,['bassline'],no,pop
33,Hardy Caprio,"['grime', 'afroswing']",no,hip hop/rap
34,Hillsong UNITED,"['worship', 'christian', 'ccm', 'gospel']",no,worship
35,Hillsong Worship,"['worship', 'christian', 'ccm', 'gospel']",no,worship
36,Hindia,"['indonesian indie', 'indonesian pop']",yes,indie/pop
37,Hivi!,"['indonesian pop', 'indonesian indie']",yes,indie/pop
38,JPCC Worship Youth,['worship'],no,worship
39,Kelsea Ballerini,['country'],no,country
40,Kendrick Lamar,"['hip hop', 'west coast hip hop']",no,hip hop/rap
41,Koomz,"['afroswing', 'grime']",no,hip hop/rap
42,Kunto Aji,"['indonesian indie', 'indonesian pop']",yes,indie/pop
43,KÖWE,"['newgrass', 'bluegrass']",no,pop
44,LE SSERAFIM,['k-pop'],no,pop
45,Libianca,"['afrobeats', 'afrobeat', 'afropop']",no,hip hop/rap
46,Lil Durk,['drill'],no,drill
47,MALIQ & D'Essentials,"['indonesian pop', 'indonesian indie']",yes,indie/pop
48,Maleek Berry,"['afrobeats', 'afrobeat', 'afropop', 'afroswing', 'azonto', 'dancehall']",no,pop
49,Maroon 5,['pop'],no,pop
50,Meryl Streep,['musicals'],no,indie
51,Nadin Amizah,"['indonesian indie', 'indonesian pop']",yes,indie/pop
52,NewJeans,['k-pop'],no,pop
53,Omar Apollo,['bedroom pop'],no,pop
54,POTRET,"['indonesian pop', 'indorock']",yes,pop/rock
55,Payung Teduh,"['indonesian indie', 'indonesian pop', 'indie']",yes,indie/pop
56,Petra Sihombing,"['indonesian indie', 'indonesian pop']",yes,indie/pop
57,PinkPantheress,['bedroom pop'],no,pop
58,ROLE MODEL,['bedroom pop'],no,pop
59,Reality Club,['indonesian indie'],yes,indie
60,Rex Orange County,['bedroom pop'],no,pop
61,Sal Priadi,"['indonesian indie', 'indonesian pop']",yes,indie/pop
62,Shawn Mendes,['pop'],no,pop
63,Sheila On 7,"['indonesian pop', 'malay', 'indorock', 'indonesian indie']",yes,indie/pop/rock
64,Soegi Bornean,"['indonesian indie', 'indonesian pop']",yes,indie/pop
65,Stormzy,"['grime', 'uk drill']",no,drill
66,Teddy Adhitya,['indonesian indie'],yes,indie
67,Tems,"['afrobeats', 'alté', 'afrobeat', 'afropop']",no,pop
68,The Lumineers,"['folk pop', 'indie folk']",no,folk/indie/pop
69,The Paper Kites,['indie folk'],no,folk/indie
70,Tion Wayne,"['uk drill', 'drill', 'grime', 'afroswing']",no,drill
71,Travis Scott,['rap'],no,hip hop/rap
72,Tulus,"['indonesian pop', 'indonesian indie']",yes,indie/pop
73,Vansire,['bedroom pop'],no,pop
74,Wallows,['indie'],no,indie
75,Young T & Bugsey,"['afroswing', 'grime']",no,hip hop/rap
76,Yovie & Nuno,"['indonesian pop', 'malay']",yes,pop
77,Yura Yunita,"['indonesian pop', 'indonesian indie']",yes,indie/pop
78,Zach Bryan,"['country', 'red dirt']",no,country
79,beabadoobee,['bedroom pop'],no,pop
80,oceanfromtheblue,['k-rap'],no,hip hop/rap
81,千葉雄喜,['j-rap'],no,hip hop/rap
