hour,msPlayed,,
0,86057468,23.90487135,23.9
1,33533901,9.314979952,9.31
2,19313279,5.364804014,5.36
3,6456293,1.793416157,1.79
4,8190187,2.275053764,2.28
5,8536472,2.371244119,2.37
6,9676671,2.687966317,2.69
7,67252887,18.68137245,18.68
8,184940738,51.37246832,51.37
9,257190393,71.44183299,71.44
10,517373000,143.7148372,143.71
11,483834074,134.3984614,134.4
12,396112036,110.0312091,110.03
13,313422905,87.06198771,87.06
14,379788352,105.4968488,105.5
15,433041826,120.2894923,120.29
16,436289505,121.1916261,121.19
17,387286266,107.5796044,107.58
18,246961637,68.6005096,68.6
19,182756014,50.76560006,50.77
20,213128742,59.2024757,59.2
21,240844199,66.90121991,66.9
22,274486227,76.24623516,76.25
23,234943944,65.26225888,65.26
